"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.415566810E-1,7.178468257E-2,3.254238665E-1,9.720842361E0,9.726552830E0
5.439173580E-1,5.264209956E-2,3.469592929E-1,9.725627899E0,9.731957150E0
5.462779830E-1,3.349951655E-2,3.541377485E-1,9.747162819E0,9.753651561E0
5.486386600E-1,5.742774159E-2,3.589234054E-1,9.735198975E0,9.741982500E0
5.509992330E-1,7.417750359E-2,3.469592929E-1,9.730413437E0,9.736879824E0
5.533599620E-1,6.460621208E-2,3.397808075E-1,9.751948357E0,9.758079817E0
5.557205870E-1,4.307080805E-2,3.326023519E-1,9.732806206E0,9.738582857E0
5.580812640E-1,4.785645381E-2,3.397808075E-1,9.751948357E0,9.757983295E0
5.604419410E-1,6.460621208E-2,3.421736360E-1,9.751948357E0,9.758163429E0
5.628025660E-1,6.939185411E-2,3.637090325E-1,9.730413437E0,9.737455784E0
5.651631910E-1,5.264209956E-2,3.589234054E-1,9.739984512E0,9.746737685E0
5.675238680E-1,4.546362907E-2,3.206382394E-1,9.739984512E0,9.745366803E0
5.698845450E-1,6.221338734E-2,3.326023519E-1,9.747162819E0,9.753034289E0
5.722451700E-1,7.178468257E-2,3.230310678E-1,9.744770050E0,9.750386938E0
5.746058470E-1,5.503492057E-2,3.230310678E-1,9.756733894E0,9.762235103E0
5.769664720E-1,6.221338734E-2,3.613162339E-1,9.749555588E0,9.756446796E0
5.793271490E-1,5.024927482E-2,3.469592929E-1,9.742377281E0,9.748683031E0
5.816877740E-1,4.785645381E-2,3.397808075E-1,9.711270332E0,9.717330534E0
5.840484510E-1,5.264209956E-2,3.326023519E-1,9.718449593E0,9.724281876E0
5.864091290E-1,6.460621208E-2,3.541377485E-1,9.747162819E0,9.753808001E0
5.887697540E-1,5.982056633E-2,3.373879790E-1,9.749555588E0,9.755574986E0
5.911304310E-1,7.178468257E-2,3.302095234E-1,9.730413437E0,9.736279424E0
5.934910560E-1,8.374879509E-2,3.326023519E-1,9.742377281E0,9.748412859E0
5.958517330E-1,7.417750359E-2,3.278166950E-1,9.732806206E0,9.738607843E0
5.982124100E-1,1.052841991E-1,3.349951804E-1,9.725627899E0,9.731965093E0
6.005730350E-1,5.503492057E-2,3.278166950E-1,9.730413437E0,9.736089476E0
6.029337120E-1,7.657032460E-2,3.445664644E-1,9.735198975E0,9.741595770E0
6.052943370E-1,5.982056633E-2,3.397808075E-1,9.749555588E0,9.755658033E0
6.076550140E-1,6.221338734E-2,3.278166950E-1,9.728020668E0,9.733741337E0
6.100156390E-1,7.417750359E-2,3.445664644E-1,9.720842361E0,9.727230056E0
6.123763160E-1,6.460621208E-2,3.373879790E-1,9.720842361E0,9.726910138E0
6.147369410E-1,7.896314561E-2,3.230310678E-1,9.749555588E0,9.755225185E0
6.170976180E-1,6.221338734E-2,3.326023519E-1,9.716055870E0,9.721946127E0
6.194582950E-1,5.503492057E-2,3.589234054E-1,9.735198975E0,9.741968689E0
6.218189200E-1,5.264209956E-2,3.349951804E-1,9.747162819E0,9.753059827E0
6.241795970E-1,4.785645381E-2,3.397808075E-1,9.725627899E0,9.731679160E0
6.265402220E-1,6.939185411E-2,3.493520916E-1,9.732806206E0,9.739321268E0
6.289008990E-1,5.742774159E-2,3.397808075E-1,9.737591743E0,9.743687285E0
6.312615240E-1,7.178468257E-2,3.684946895E-1,9.744770050E0,9.751999011E0
6.336222010E-1,4.307080805E-2,3.637090325E-1,9.739984512E0,9.746868095E0
6.359828260E-1,5.024927482E-2,3.302095234E-1,9.747162819E0,9.752884001E0
6.383435040E-1,6.699903309E-2,3.421736360E-1,9.749555588E0,9.755788324E0
6.407041810E-1,7.178468257E-2,3.326023519E-1,9.737591743E0,9.743534796E0
6.430648060E-1,9.092725813E-2,3.517449200E-1,9.737591743E0,9.744366845E0
6.454254830E-1,5.264209956E-2,3.493520916E-1,9.735198975E0,9.741607524E0
6.477861080E-1,6.699903309E-2,3.541377485E-1,9.720842361E0,9.727521711E0
6.501467850E-1,4.307080805E-2,3.421736360E-1,9.735198975E0,9.741305712E0
6.525074100E-1,7.657032460E-2,3.373879790E-1,9.737591743E0,9.743735763E0
6.548680870E-1,9.571290761E-2,3.254238665E-1,9.737591743E0,9.743498069E0
6.572287120E-1,5.742774159E-2,3.326023519E-1,9.739984512E0,9.745830933E0
6.595893890E-1,3.589234129E-2,3.373879790E-1,9.742377281E0,9.748283644E0
6.619500660E-1,6.460621208E-2,3.517449200E-1,9.725627899E0,9.732201009E0
6.643106910E-1,7.417750359E-2,3.493520916E-1,9.737591743E0,9.744138861E0
6.666713680E-1,7.417750359E-2,3.469592929E-1,9.735198975E0,9.741662185E0
6.690319930E-1,5.503492057E-2,3.421736360E-1,9.737591743E0,9.743757212E0
6.713926700E-1,6.699903309E-2,3.445664644E-1,9.751948357E0,9.758263763E0
6.737532950E-1,7.657032460E-2,3.349951804E-1,9.730413437E0,9.736479366E0
