Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),来源批次,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
32.43621171,0.05742774159,0.35174492,9.730413437,9.736938332,data1,,,,
32.43857233,0.05024927482,0.3397808075,9.735198975,9.741256339,data1,,,,
32.44093301,0.07178468257,0.3326023519,9.747162819,9.75310004,data1,,,,
32.44329364,0.06460621208,0.35174492,9.732806206,9.739374471,data1,,,,
32.44565426,0.05503492057,0.3469592929,9.732806206,9.739144019,data1,,,,
32.44801489,0.05024927482,0.3397808075,9.759127617,9.765170138,data1,,,,
32.45037551,0.05503492057,0.3637090325,9.732806206,9.739755117,data1,,,,
32.45273614,0.05742774159,0.3397808075,9.751948357,9.75803493,data1,,,,
32.45509676,0.08853443712,0.3445664644,9.735198975,9.741697156,data1,,,,
32.45745739,0.07896314561,0.3326023519,9.737591743,9.743590327,data1,,,,
32.45981801,0.06939185411,0.3493520916,9.718449593,9.724974272,data1,,,,
32.46217864,0.06699903309,0.3254238665,9.739984512,9.745649689,data1,,,,
32.46453926,0.07896314561,0.3541377485,9.732806206,9.739567001,data1,,,,
32.46689989,0.06460621208,0.3565305769,9.742377281,9.749112939,data1,,,,
32.46926051,0.06939185411,0.3326023519,9.739984512,9.745908775,data1,,,,
32.47162114,0.06221338734,0.35174492,9.732806206,9.739358892,data1,,,,
32.47398181,0.0765703246,0.35174492,9.742377281,9.749025725,data1,,,,
32.47634244,0.07896314561,0.342173636,9.747162819,9.753486607,data1,,,,
32.47870306,0.05742774159,0.3445664644,9.730413437,9.736681655,data1,,,,
32.48106369,0.05024927482,0.3397808075,9.739984512,9.746038902,data1,,,,
32.48342431,0.05982056633,0.3469592929,9.732806206,9.739172238,data1,,,,
32.48578494,0.0765703246,0.35174492,9.735198975,9.741852318,data1,,,,
32.48814556,0.07417750359,0.3326023519,9.72323513,9.729204902,data1,,,,
32.49050619,0.06460621208,0.3254238665,9.720842361,9.726502499,data1,,,,
32.49286681,0.06221338734,0.3349951804,9.730413437,9.736377043,data1,,,,
32.49522744,0.06460621208,0.3541377485,9.737591743,9.744243453,data1,,,,
32.49758806,0.05024927482,0.3182454109,9.747162819,9.752486255,data1,,,,
32.49994869,0.06939185411,0.3445664644,9.742377281,9.748715627,data1,,,,
32.50230931,0.05264209956,0.3302095234,9.737591743,9.74333118,data1,,,,
32.50466994,0.06221338734,0.3397808075,9.718449593,9.724586571,data1,,,,
32.50703056,0.07896314561,0.3397808075,9.720842361,9.727099382,data1,,,,
32.50939114,0.04785645381,0.3493520916,9.751948357,9.758321263,data1,,,,
32.51175187,0.0765703246,0.3613162339,9.739984512,9.7469847,data1,,,,
32.51411249,0.08135596663,0.3565305769,9.708877563,9.715762265,data1,,,,
32.51647312,0.06699903309,0.35174492,9.718449593,9.725043745,data1,,,,
32.51883374,0.08374879509,0.3397808075,9.747162819,9.753442873,data1,,,,
32.52119437,0.0765703246,0.3326023519,9.74477005,9.750745134,data1,,,,
32.52355499,0.06939185411,0.3469592929,9.732806206,9.739235731,data1,,,,
32.52591562,0.0765703246,0.3445664644,9.730413437,9.736813376,data1,,,,
32.52827624,0.08374879509,0.35174492,9.74477005,9.751475872,data1,,,,
32.53063687,0.04546362907,0.3493520916,9.739984512,9.746353786,data1,,,,
32.53299749,0.07896314561,0.3302095234,9.730413437,9.736334996,data1,,,,
32.53535812,0.07178468257,0.337387979,9.730413437,9.736525527,data1,,,,
32.53771874,0.07178468257,0.3326023519,9.737591743,9.743534796,data1,,,,
32.54007942,0.06939185411,0.3541377485,9.71605587,9.722755291,data1,,,,
32.54244004,0.06939185411,0.342173636,9.728020668,9.734283956,data1,,,,
32.54480067,0.07417750359,0.3254238665,9.71605587,9.721787113,data1,,,,
32.54716129,0.07417750359,0.3589234054,9.725627899,9.732531343,data1,,,,
32.54952192,0.07178468257,0.3493520916,9.720842361,9.7273828,data1,,,,
32.55188254,0.08135596663,0.3493520916,9.728020668,9.73463157,data1,,,,
32.55424317,0.07178468257,0.3206382394,9.751948357,9.757482189,data1,,,,
32.55660379,0.09092725813,0.3349951804,9.747162819,9.75334161,data1,,,,
32.55896442,0.06460621208,0.327816695,9.739984512,9.745713727,data1,,,,
32.56132504,0.08374879509,0.337387979,9.751948357,9.758142306,data1,,,,
32.56368567,0.08135596663,0.3349951804,9.739984512,9.746083258,data1,,,,
32.56604629,0.05024927482,0.3326023519,9.725627899,9.73144323,data1,,,,
32.56840692,0.08135596663,0.3397808075,9.742377281,9.748640155,data1,,,,
32.5707676,0.0765703246,0.3445664644,9.735198975,9.74159577,data1,,,,
32.57312822,0.08374879509,0.3445664644,9.735198975,9.741654838,data1,,,,
32.57548884,0.06221338734,0.327816695,9.725627899,9.731349974,data1,,,,
32.57784947,0.06699903309,0.337387979,9.725627899,9.731708871,data1,,,,
32.5802101,0.06939185411,0.337387979,9.730413437,9.73650818,data1,,,,
32.58257072,0.08853443712,0.3397808075,9.732806206,9.739137846,data1,,,,
32.58493134,0.05982056633,0.337387979,9.74477005,9.750792403,data1,,,,
32.58729197,0.06699903309,0.3397808075,9.759127617,9.765270693,data1,,,,
32.5896526,0.05742774159,0.337387979,9.739984512,9.745995429,data1,,,,
32.59201322,0.05024927482,0.337387979,9.728020668,9.733999268,data1,,,,
32.59437384,0.06460621208,0.3302095234,9.730413437,9.736229144,data1,,,,
32.59673442,0.09092725813,0.3445664644,9.742377281,9.748892701,data1,,,,
32.5990951,0.09571290761,0.3445664644,9.735198975,9.741765039,data1,,,,
32.60145572,0.0933200866,0.3349951804,9.739984512,9.746190472,data1,,,,
32.60381635,0.05264209956,0.3158525825,9.751948357,9.757204046,data1,,,,
32.60617702,0.05742774159,0.3493520916,9.737591743,9.744025749,data1,,,,
32.60853765,0.07178468257,0.3493520916,9.720842361,9.7273828,data1,,,,
32.61089827,0.09092725813,0.3469592929,9.718449593,9.725066118,data1,,,,
32.6132589,0.07417750359,0.3182454109,9.732806206,9.738290357,data1,,,,
32.61561952,0.0933200866,0.337387979,9.732806206,9.739099339,data1,,,,
32.61798015,0.08853443712,0.337387979,9.749555588,9.755793312,data1,,,,
32.62034077,0.05982056633,0.3541377485,9.735198975,9.741821756,data1,,,,
32.6227014,0.08135596663,0.3397808075,9.74477005,9.751031387,data1,,,,
32.62506202,0.1004985496,0.342173636,9.737591743,9.744120059,data1,,,,
32.62742265,0.07417750359,0.3326023519,9.739984512,9.745944024,data1,,,,
32.62978327,0.04546362907,0.3493520916,9.739984512,9.746353786,data1,,,,
32.6321439,0.09092725813,0.342173636,9.739984512,9.746417232,data1,,,,
32.63450452,0.05742774159,0.3397808075,9.735198975,9.741296013,data1,,,,
32.63686515,0.05503492057,0.3302095234,9.737591743,9.743344402,data1,,,,
32.63922577,0.05982056633,0.3302095234,9.730413437,9.736198564,data1,,,,
32.6415864,0.05264209956,0.337387979,9.749555588,9.755533609,data1,,,,
32.64394707,0.07178468257,0.3397808075,9.732806206,9.738999983,data1,,,,
32.6463077,0.06221338734,0.3469592929,9.747162819,9.75353445,data1,,,,
32.64866832,0.06939185411,0.3254238665,9.74477005,9.750449182,data1,,,,
32.65102895,0.07417750359,0.35174492,9.704092026,9.710748109,data1,,,,
32.65338952,0.08135596663,0.337387979,9.735198975,9.741383296,data1,,,,
