"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.521272460E-1,-1.687514037E-2,2.634354308E-2,-1.343902480E-2,3.404937609E-2
3.544879230E-1,-1.626427472E-2,2.756527252E-2,-1.343902480E-2,3.471279690E-2
3.568485480E-1,-1.443168055E-2,2.756527252E-2,-1.221729536E-2,3.342723379E-2
3.592091730E-1,-1.198822167E-2,2.939786762E-2,-1.160643063E-2,3.380327368E-2
3.615698510E-1,-1.198822167E-2,3.061959706E-2,-1.038470119E-2,3.448360773E-2
3.639304760E-1,-7.712167688E-3,3.061959706E-2,-9.162971750E-3,3.287852348E-2
3.662911530E-1,-6.490438245E-3,3.306305781E-2,-7.941242307E-3,3.461726318E-2
3.686517780E-1,-4.657844082E-3,3.184132650E-2,-7.941242307E-3,3.314557157E-2
3.710124030E-1,-4.046979360E-3,3.061959706E-2,-5.497782957E-3,3.137137841E-2
3.733730800E-1,-1.603520010E-3,3.000873141E-2,-4.276053514E-3,3.035423975E-2
3.757337050E-1,-9.926552884E-4,3.184132650E-2,-6.108647678E-3,3.243718568E-2
3.780943820E-1,-2.214384731E-3,3.061959706E-2,-5.497782957E-3,3.118795988E-2
3.804550070E-1,-3.817904799E-4,3.000873141E-2,-6.108647678E-3,3.062654570E-2
3.828156840E-1,1.450803829E-3,2.878700197E-2,-6.108647678E-3,2.946373857E-2
3.851763090E-1,8.399390499E-4,2.634354308E-2,-9.773836471E-3,2.811077443E-2
3.875369340E-1,-1.603520010E-3,2.634354308E-2,-9.773836471E-3,2.814394105E-2
3.898975590E-1,-3.817904799E-4,2.206749097E-2,-1.160643063E-2,2.493650243E-2
3.922582360E-1,2.061668551E-3,2.084576152E-2,-1.221729536E-2,2.424991869E-2
3.946189130E-1,2.061668551E-3,1.840230078E-2,-1.343902480E-2,2.288017785E-2
3.969795380E-1,4.505127668E-3,1.656970754E-2,-1.343902480E-2,2.180501710E-2
3.993402150E-1,6.337722298E-3,1.473711245E-2,-1.160643063E-2,1.980046563E-2
4.017008400E-1,7.559451740E-3,1.290451828E-2,-1.160643063E-2,1.893095705E-2
4.040614650E-1,8.781181648E-3,9.239329956E-3,-1.099556591E-2,1.683380049E-2
4.064221420E-1,1.000291109E-2,5.574141163E-3,-1.099556591E-2,1.587550786E-2
4.087827670E-1,1.122464053E-2,3.741546767E-3,-9.162971750E-3,1.496501850E-2
4.111434440E-1,1.305723470E-2,7.635809743E-5,-7.941242307E-3,1.528268752E-2
4.135040690E-1,1.427896414E-2,-1.145371469E-3,-5.497782957E-3,1.534360812E-2
4.158646940E-1,1.183550525E-2,-5.345066893E-4,-4.276053514E-3,1.259561494E-2
4.182253710E-1,1.366809942E-2,-2.367100911E-3,-3.665188793E-3,1.434760319E-2
4.205859960E-1,1.305723470E-2,-2.367100911E-3,-3.665188793E-3,1.376692244E-2
4.229466730E-1,1.305723470E-2,-1.756236190E-3,-2.443459118E-3,1.339948641E-2
4.253072980E-1,1.122464053E-2,7.635809743E-5,-1.221729559E-3,1.129119165E-2
4.276679760E-1,9.392046370E-3,-5.345066893E-4,-0.000000000E0,9.407243614E-3
4.300286010E-1,9.392046370E-3,-1.145371469E-3,6.108647794E-4,9.481327259E-3
4.323892260E-1,6.948587019E-3,6.872228696E-4,-0.000000000E0,6.982487868E-3
4.347499030E-1,6.948587019E-3,1.298087649E-3,6.108647794E-4,7.095142626E-3
4.371105280E-1,3.894262947E-3,1.908952487E-3,-0.000000000E0,4.336978614E-3
4.394712050E-1,2.672533505E-3,3.130682046E-3,1.221729559E-3,4.293742950E-3
4.418318300E-1,8.399390499E-4,4.963276442E-3,6.108647794E-4,5.070775722E-3
4.441925070E-1,-1.603520010E-3,6.185005885E-3,-1.832594397E-3,6.647102860E-3
4.465531320E-1,-1.603520010E-3,6.185005885E-3,-6.108647794E-4,6.418623684E-3
4.489137050E-1,-3.436114406E-3,6.185005885E-3,-0.000000000E0,7.075392569E-3
4.512744340E-1,-7.101302966E-3,7.406735327E-3,6.108647794E-4,1.027917253E-2
4.536350590E-1,-6.490438245E-3,6.185005885E-3,6.108647794E-4,8.986280776E-3
4.559957360E-1,-5.268708803E-3,4.352411721E-3,-1.221729559E-3,6.942290930E-3
4.583563610E-1,-6.490438245E-3,4.963276442E-3,-6.108647794E-4,8.193476517E-3
4.607169340E-1,-7.101302966E-3,2.519817324E-3,-1.221729559E-3,7.633518604E-3
4.630776630E-1,-5.268708803E-3,6.872228696E-4,-2.443459118E-3,5.848252746E-3
4.654382880E-1,-6.490438245E-3,1.908952487E-3,-3.054323839E-3,7.422855402E-3
4.677989650E-1,-4.657844082E-3,6.872228696E-4,-1.832594397E-3,5.052344899E-3
4.701595380E-1,-2.214384731E-3,-5.345066893E-4,-1.832594397E-3,2.923627774E-3
4.725202670E-1,-1.603520010E-3,7.635809743E-5,-3.665188793E-3,4.001339259E-3
4.748808920E-1,8.399390499E-4,1.298087649E-3,-5.497782957E-3,5.711054771E-3
4.772415170E-1,3.283398226E-3,6.872228696E-4,-5.497782957E-3,6.440387925E-3
4.796021940E-1,5.115992390E-3,7.635809743E-5,-7.941242307E-3,9.446826879E-3
4.819628190E-1,8.781181648E-3,7.635809743E-5,-9.162971750E-3,1.269153391E-2
4.843234960E-1,1.244636998E-2,-5.345066893E-4,-1.221729536E-2,1.744878588E-2
4.866841210E-1,1.488982886E-2,-2.367100911E-3,-1.282816008E-2,1.979575362E-2
4.890447980E-1,1.672242396E-2,-2.367100911E-3,-1.404988952E-2,2.196911526E-2
4.914054230E-1,1.916588284E-2,-2.977965865E-3,-1.710421406E-2,2.586026845E-2
4.937660480E-1,1.916588284E-2,-2.367100911E-3,-1.832594350E-2,2.662281798E-2
